artigoEmPeriodico	2018	http://dx.doi.org/10.1590/0103-1104201811708	Redes sociais de usuários portadores de tuberculose: a influência das relações no enfrentamento da doença	Saúde em Debate	AZEVEDO, MARIANA DE ALMEIDA JORGE DE ; DAVID, HELENA MARIA SCHERLOWSKI LEAL ; Marteleto, Regina Maria	Qualis nao identificado	Saúde em Debate
artigoEmPeriodico	2018		Resultados preliminares da pesquisa no sambaqui sob rocha	Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)	BANDEIRA, Dione da Rocha; ALVES, Maria Cristina ; ALMEIDA, Graciele Tules ; SA, J. C. ; FERREIRA, J. ; VOSS, C. V. ; CIDRAL, V. ; BARTZ, M. C. ; MELO JUNIOR, J. C. F.	Qualis nao identificado	Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)
artigoEmPeriodico	2018		Acesso à informação na região nordeste: balanço da criação da LAI nos estados e o processo de sua regulamentação no Maranhão	PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO (IMPRESSO)	BARROS, Dirlene Santos; RODRIGUES, G. M.	C	Perspectivas em Ciência da Informação (Impresso)
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/2318-08892018000100008	BPM and ECM: Similarities, differences, conceptual, and technological limits	Transinformacao	BAX, M. P.; MENDES, M. A.	Qualis nao identificado	Transinformacao
artigoEmPeriodico	2018		Pressupostos da teoria ator-rede para os estudos das práticas informacionais	Informacao & Sociedade-Estudos	BERTI, I. C. L. W. ; ARAÚJO, C. A. Á.	Qualis nao identificado	Informacao & Sociedade-Estudos
artigoEmPeriodico	2018		O centenário da Academia de Letras da Bahia	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2018		Discurso de recepção ao acadêmico correspondente Jerônimo Pizarro	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2018		Centenário de Waldemar Mattos (1917-2017)	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2018		Trajetória da minha vida acadêmica	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2018		Saudação a Paulo Ormindo de Azevedo	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2018		Discurso de tomada de posse na Academia de Ciências de Lisboa	Revista da Academia de Letras Jurídicas da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras Jurídicas da Bahia
artigoEmPeriodico	2018		Memórias de um professor	Revista da Academia de Letras Jurídicas da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras Jurídicas da Bahia
artigoEmPeriodico	2018		O ensino Jurídico Brasileiro e Sua Necessidade de Ressignificação na Pós-Modernidade	Revista da Academia de Letras Jurídicas da Bahia	BOAVENTURA, Edivaldo M.; ALMEIDA, M. P.	Qualis nao identificado	Revista da Academia de Letras Jurídicas da Bahia
artigoEmPeriodico	2018		O Instituto Jurídico da Arrecadação e Encampação de Imóveis Abandonados: O Exemplo do Município de Salvador/BA	BOLETIM GOVERNET DE ADMINISTRAÇÃO PÚBLICA E GESTÃO MUNICIPAL	BOAVENTURA, Edivaldo M.; SANTOS, B. O. ; REIS, R. B.	Qualis nao identificado	BOLETIM GOVERNET DE ADMINISTRAÇÃO PÚBLICA E GESTÃO MUNICIPAL
artigoEmPeriodico	2018	http://dx.doi.org/10.1016/j.techsoc.2018.01.006	A conical-helix model of technology transfer and public-private partnerships for technological development in Brazilian public health	TECHNOLOGY IN SOCIETY	BONFIM, L. R. C. ; SEGATTO, A. P. ; GONÇALVES, S. A.	Qualis nao identificado	TECHNOLOGY IN SOCIETY
artigoEmPeriodico	2018	http://dx.doi.org/10.1590/1806-93472018v38n78-12	Abreu, Jorge Phelipe Lira de. Existir em bits: arquivos pessoais nato-digitais e seus desafios à teoria arquivística	REVISTA BRASILEIRA DE HISTÓRIA (IMPRESSO)	CAMPOS, JOSÉ FRANCISCO GUELFI	Qualis nao identificado	REVISTA BRASILEIRA DE HISTÓRIA (IMPRESSO)
artigoEmPeriodico	2018		Dos meandros da administração aos bastidores da sala de aula: apontamentos sobre o potencial dos arquivos institucionais e pessoais para o estudo da história das universidades	REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE	CAMPOS, José Francisco Guelfi	Qualis nao identificado	REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO DE SERGIPE
artigoEmPeriodico	2018	http://dx.doi.org/10.11606/issn.2316-9141.rh.2018.134995	Geoprocessamento aplicado à história agrária: o vínculo da Jaguara	REVISTA DE HISTÓRIA	CARRARA, Angelo Alves; ZAIDAN, Ricardo Tavares ; PAULA, Lucas Pinheiro de	Qualis nao identificado	REVISTA DE HISTÓRIA
artigoEmPeriodico	2018		O sermão de Vieira aos escravos de um engenho da região da Plataforma do Recôncavo Baiano: dinamismo retórico e construção de argumentos persuasivos	MNEMOSINE (RIO DE JANEIRO)	Carvalho C.C ; MASSIMI, M.	Qualis nao identificado	MNEMOSINE (RIO DE JANEIRO)
artigoEmPeriodico	2018		Análise Histórica e Antropológica do queijo da região entre Serras da Piedade ao Caraça	Anais do Congresso da Soter	CATÃO, L. P	Qualis nao identificado	Anais do Congresso da Soter
artigoEmPeriodico	2018		A relational concept of fire: an innovative strategy for fire safety design	International Journal of Current Innovation Research	CLARET-GOUVEIA, A. M.; BEZERRA, A. C. S. ; CASTANHEIRA, L. G. ; DIAS, P. M. ; GUIMARAES, E. M. ; GOUVEIA, A. M. C.	Qualis nao identificado	International Journal of Current Innovation Research
artigoEmPeriodico	2018		Arquivo pessoal e Alfresco: a representação da informação com Dublin Core e Folksonomia	AGORA (FLORIANOPOLIS)	CONEGLIAN, Caio Saraiva ; ARAKAKI, F. A. ; GONÇALEZ, Paula Regina Ventura Amorim ; SIMIONATO, A. C. ; SANTARÉM SEGUNDO, J. E. ; SANTOS, P. L. V. A. C.	Qualis nao identificado	AGORA (FLORIANOPOLIS)
artigoEmPeriodico	2018		ESTUPRO E ABORTO SENTIMENTAL: A INEXIGIBILIDADE DE AUTORIZAÇÃO JUDICIAL E A AUSÊNCIA DE NOTIFICAÇÃO DAS AUTORIDADES COMPETENTES	Revista do NUPEM	CORDEIRO, F. L.; PAZ, K. D. F.	Qualis nao identificado	Revista do NUPEM
artigoEmPeriodico	2018		O delineamento de uma pesquisa em imagens e audiovisuais na ciência da informação: o ?tagueamento? como quarta dimensão	Informação & Informação (Online)	CORDEIRO, Rosa Inês Novais de	C	Informação & Informação (UEL. Online)
artigoEmPeriodico	2018		Two Algorithms for NP-Complete Problems and Their Relevance to Economics, Foreword by Sir Roger Penrose	The Frontiers Collection	COSENZA.Carlos Alberto Nunes; DORIA, FRANCISCO	Qualis nao identificado	The Frontiers Collection
artigoEmPeriodico	2018		Levantamento de artigos sobre Interação humano-computador em periódicos de ciência, tecnologia e sociedade	REVISTA TECNOLOGIA E SOCIEDADE (ONLINE)	COSTA, L. S. F.; ALMEIDA, M. R.	Qualis nao identificado	REVISTA TECNOLOGIA E SOCIEDADE (ONLINE)
artigoEmPeriodico	2018	http://dx.doi.org/10.20503/recape.v8i1.33002	ESCOLHA E COMPROMETIMENTO DE CARREIRA: PERCEPÇÃO DE PROFISSIONAIS DAS GERAÇÕES X E Y	REVISTA DE CARREIRAS E PESSOAS	DA SILVA, ANA PAULA DE MOURA ; FABRICIO, ADRIANE ; DIAS LOPES, LUIS FELIPE ; ROTILI, LIANE BEATRIZ ; CARNEIRO, LINÉIA	Qualis nao identificado	REVISTA DE CARREIRAS E PESSOAS
artigoEmPeriodico	2018	http://dx.doi.org/10.14488/bjopm.2018.v15.n2.a15	The The social network analysis and its contribution to the mapping of scientific production in postgraduate programs	Brazilian Journal of Operations & Production Management	DIAS, ANA CLAUDIA ; WANDRESEN CARDOSO, KEREN ANE ; CORREIA DA SILVEIRA BATISTA, HAYDÉE MARIA ; COSTA, Helder Gomes ; RODRIGUEZ Y RODRIGUEZ, MARTIUS VICENTE	C	Brazilian Journal of Operations and Production Management
artigoEmPeriodico	2018		AMBIENTES DETERMINANTES AO COMPARTILHAMENTO DO CONHECIMENTO EM ORGANIZAÇÕES DE RADIOLOGIA E DIAGNÓSTICO POR IMAGEM: UM ESTUDO DE MÚLTIPLOS CASOS	PERSPECTIVAS EM GESTÃO & CONHECIMENTO	DOROW, P. F. ; FRAGA, B. D. ; Varvakis, G.	C	Perspectivas em Gestão & Conhecimento
artigoEmPeriodico	2018	http://dx.doi.org/10.21529/recadm.2018015	Motivadores ao Compartilhamento de Conhecimento Tácito em Organizações Intensivas em Conhecimento	RECADM : REVISTA ELETRÔNICA DE CIÊNCIA ADMINISTRATIVA	DOROW, PATRÍCIA FERNANDA ; TRZECIAK, DORZELI SALETE ; RADOS, GREGÓRIO JEAN VARVAKIS	Qualis nao identificado	RECADM : REVISTA ELETRÔNICA DE CIÊNCIA ADMINISTRATIVA
artigoEmPeriodico	2018	http://dx.doi.org/10.12968/jowc.2018.27.7.458	Using AutoCAD software to measure venous leg ulcers: a reproducibility assessment study	Journal of Wound Care	EBERHARDT, THAÍS D. ; LIMA, SUZINARA B.S. ; LOPES, LUIS F.D. ; KESSLER, MARCIANE ; FONSECA, GRAZIELE G.P. ; SOARES, RHEA S.A.	Qualis nao identificado	Journal of Wound Care
artigoEmPeriodico	2018	http://dx.doi.org/10.4454/rse.v5i1.106	A MICROSCOPIC CASE: THE BUTANTAN RURAL GRADED SCHOOL AND RURAL EDUCATION IN BRAZIL IN THE 1930s	Rivista di storia dell educazione	ECAR, A. L. ; VIDAL, DIANA	Qualis nao identificado	Rivista di storia dell educazione
artigoEmPeriodico	2018		Governança de dados aplicada à ciência da informação: análise de um sistema de dados científicos para a área da saúde	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO	ESPINDOLA, P. L. ; José Francisco Salm Junior ; ROSA, F. ; JULIANI, J. P.	Qualis nao identificado	REVISTA DIGITAL DE BIBLIOTECONOMIA E CIÊNCIA DA INFORMAÇÃO
artigoEmPeriodico	2018		Uma análise do discurso da dimensão cultural da ISKO	Informacao & Sociedade-Estudos	EVANGELISTA, I. V. ; BARROS, T. H. B. ; MORAES, J. B. E.	Qualis nao identificado	Informacao & Sociedade-Estudos
artigoEmPeriodico	2018		Uma análise do discurso da dimensão cultural da International Society for Knowledge Organization	Informacao & Sociedade-Estudos	EVANGELISTA, I. V. ; BARROS, Thiago Henrique Bragato ; MORAES, J. B. E.	Qualis nao identificado	Informacao & Sociedade-Estudos
artigoEmPeriodico	2018		Pontos de convergência entre as Políticas de Informação em Saúde e a Arquivologia: a Gestão de Documentos no 2º PlaDITIS para as inovações nos serviços de saúde	ARCHEION ONLINE	FARIAS NETO, L. C. ; QUEIROGA, Gillian. ; CUNHA, F. J. A. P.	Qualis nao identificado	ARCHEION ONLINE
artigoEmPeriodico	2018		José Maurício Nunes Garcia - um panorama de sua produção musical	Glosas	FIGUEIREDO, C. A	Qualis nao identificado	Glosas
artigoEmPeriodico	2018		Cleofe Person de Mattos	Glosas	FIGUEIREDO, C. A	Qualis nao identificado	Glosas
artigoEmPeriodico	2018		Aplicação de uma ferramenta musicológica em documentos musicais de um acervo bicentenário	REVISTA MUSICA	FONSECA, M. F. C.; SOBRINHO FILHO, A. T.	Qualis nao identificado	REVISTA MUSICA
