artigoEmPeriodico	2016		Celso Brandão: um intermediário cultural	Revista Extensão em Debate	VIRGINIO, R. M. ; LIMA, M. L.	Qualis nao identificado	Revista Extensão em Debate
artigoEmPeriodico	2016	http://dx.doi.org/10.1007/s12652-016-0361-8	Improving the performance of Apache Hadoop on pervasive environments through context-aware scheduling	Journal of Ambient Intelligence and Humanized Computing	W. CASSALES, GUILHERME ; SCHWERTNER CHARÃO, ANDREA ; KIRSCH-PINHEIRO, MANUELE ; SOUVEYET, CARINE ; STEFFENEL, LUIZ-ANGELO	Qualis nao identificado	Journal of Ambient Intelligence and Humanized Computing
artigoEmPeriodico	2016	http://dx.doi.org/10.5195/biblios.2015.253	Transparência das informações das universidades federais: estudo dos relatórios de gestão à luz dos princípios de governança	Biblios (Lima)	ZORZAL, LUZIA ; RODRIGUES, GEORGETE MEDLEG	Qualis nao identificado	Biblios (Lima)
artigoEmPeriodico	2015	http://dx.doi.org/10.14516/ete.2015.002.001.013	As reformas da instrução primária na província de Goiás, Brasil, no período imperial (1822-1889)	Espacio, Tiempo y Educación	ABREU, S. E. A. de ; GONCALVES NETO, Wenceslau ; CARVALHO, C. H. de	Qualis nao identificado	Espacio, Tiempo y Educación
artigoEmPeriodico	2015		A prática arquivística e a gestão do conteúdo organizacional: relato de experiência em empresa do setor energético	Tendências da Pesquisa Brasileira em Ciência da Informação	Aganette, E. ; TEIXEIRA, L. M.D. ; ALMEIDA, M. B.	Qualis nao identificado	Tendências da Pesquisa Brasileira em Ciência da Informação
artigoEmPeriodico	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n44p3	Avanços teórico-empíricos na comparação entre Teoria da Ontologia e Teoria da Terminologia	Encontros Bibli	AGANETTE, ELISÂNGELA CRISTINA ; ALMEIDA, MAURÍCIO BARCELLOS	C	
artigoEmPeriodico	2015		Programa nacional de alimentação escolar: política pública nas escolas municipais	Revista UNIABEU	AGNOLIN, S. R. ; LOPES, L. F. D. ; ALMEIDA, D. M. ; CORREA, J. S. ; GOULART, S. O.	Qualis nao identificado	Revista UNIABEU
artigoEmPeriodico	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n43p20	Em foco a classificação: abordagens conceituais na Arquivologia, Biblioteconomia e Museologia	Encontros Bibli	ALBUQUERQUE, ANA CRISTINA DE	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/0103-37862015000300007	Mediação cultural no Arquivo Público do Estado do Espírito Santo	Transinformacao	ALDABALDE, TAIGUARA VILLELA ; RODRIGUES, GEORGETE MEDLEG	Qualis nao identificado	Transinformacao
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/0103-37862015000300007	MediaÃ§Ã£o cultural no Arquivo PÃºblico do Estado do EspÃ­rito Santo	Transinformacao	ALDABALDE, TAIGUARA VILLELA; RODRIGUES, Georgete Medleg	Qualis nao identificado	Transinformacao
artigoEmPeriodico	2015	http://dx.doi.org/10.15628/holos.2015.1532	PROCESSO DE COLETA SELETIVA DE RESÍDUOS SÓLIDOS: UM ESTUDO DE CASO DE SUSTENTABILIDADE NA CIDADE DE SANTA MARIA/RS	Holos (Natal. Online)	ALMEIDA JUNIOR, S. L. O. ; IBDAIWI, T. K. R. ; ALMEIDA, D. M. ; LOPES, L. F. D. ; COSTA, Vania Medianeira Flores	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.5380/diver.v8i2.45052	CONSERVADORISMO E REVOLUÇÃO (OU REFORMISMO) NA BIBLIOTECONOMIA E NA CIÊNCIA DA INFORMAÇÃO	Divers@! (Matinhos)	ALMEIDA JÚNIOR, OSWALDO FRANCISCO DE	Qualis nao identificado	Divers@! (Matinhos)
artigoEmPeriodico	2015		Estresse ocupacional na perspectiva dos bombeiros da cidade de Santa Maria/RS	Revista de Carreiras & Pessoas (ReCaPe)	ALMEIDA, D. M. ; IBDAIWI, T. K. R. ; LOPES, L. F. D. ; COSTA, Vania Medianeira Flores ; POSSAMAI, L. O.	Qualis nao identificado	Revista de Carreiras & Pessoas (ReCaPe)
artigoEmPeriodico	2015		Comportamento Ecológico de Alunos Pós-graduandos de uma Instituição Pública	Desenvolvimento em Questão	ALMEIDA, D. M. ; MADRUGA, L. R. R. G. ; LOPES, Luis Felipe Dias ; IBDAIWI, T. K. R.	Qualis nao identificado	Desenvolvimento em Questão
artigoEmPeriodico	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n42p132	O desafio da formação de auxiliares de biblioteca no Brasil: relato de uma experiência pioneira de educação profissional no sertão paraibano	Encontros Bibli	ALMEIDA, JOBSON LOUIS SANTOS DE ; FREIRE, GUSTAVO HENRIQUE DE ARAÚJO	C	
artigoEmPeriodico	2015		O pensamento curricular e os movimentos sociais	Teias (Rio de Janeiro. Impresso)	ALMEIDA, Nilton Alves ; ALVES, N. G.	Qualis nao identificado	Teias (Rio de Janeiro. Impresso)
artigoEmPeriodico	2015		Lei de Acesso à Informação e transparência: proposta de inclusão de informações no Portal Transparência UFPB	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	ALMEIDA, S. E. C. ; FREIRE, I. M.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		Pesquisa com os cotidianos escolares por entre imagensnarrativas e redes de saberesfazeres	Revista de Educação Técnica e Tecnológica em Ciências Agrícolas (RETTA)	ALVES, N. G.; FERRAÇO, C. E. ; GOMES, Marco Antônio Oliva	Qualis nao identificado	Revista de Educação Técnica e Tecnológica em Ciências Agrícolas (RETTA)
artigoEmPeriodico	2015		Alguma conversas sobre os usos do conceito deleuziano de clichê nas pesquisas com os cotidianos	Linha Mestra (Associação de Leitura do Brasil)	ALVES, N. G.; ROSA, Rebeca Brandão	Qualis nao identificado	Linha Mestra (Associação de Leitura do Brasil)
artigoEmPeriodico	2015		Deleuze e as pesquisas com os cotidianos: conexões possíveis?	Linha Mestra (Associação de Leitura do Brasil)	ALVES, N. G.; ROSA, Rebeca Brandão	Qualis nao identificado	Linha Mestra (Associação de Leitura do Brasil)
artigoEmPeriodico	2015		NOVOS RUMOS AOS FAZERES ARQUIVÍSTICOS: PRÁTICAS DE GESTÃO DE DOCUMENTOS EM UM ARQUIVO PRIVADO	Informação Arquivística	ANNA, J. S. ; SILVA, L. C.	Qualis nao identificado	Informação Arquivística
artigoEmPeriodico	2015		Panorama das pesquisas sobre o padrão de metadados Dublin Core no Brasil	Revista ACB (Florianópolis)	ARAKAKI, F. A. ; SANTOS, P. L. V. A. C. ; ALVES, R. C. V.	Qualis nao identificado	Revista ACB (Florianópolis)
artigoEmPeriodico	2015		Uma reflexão acerca do marketing de relacionamento em bibliotecas: uma ferramenta de comunicação em ambiente web para socialização da informação.	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	ARAUJO, W. S. ; FREIRE, G. H. A.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		O pensamento funcionalista na arquivologia, na biblioteconomia e na museologia	PontodeAcesso (UFBA)	ARAÚJO, C. A. Á	C	
artigoEmPeriodico	2015		Documento como ponto de diálogo entre arquivologia, biblioteconomia, museologia e ciência da informação	Tempo Brasileiro	ARAÚJO, C. A. Á	C	
artigoEmPeriodico	2015		Evolução das Fontes de Informação	Biblos (Rio Grande)	ARAÚJO, Nelma Camelo de ; FACHIN, J.	Qualis nao identificado	Biblos (Rio Grande)
artigoEmPeriodico	2015		The ethics of knowledge organization and representation from a Bakhtinian perspective	Knowledge Organization	ARBOIT, A. E. ; GUIMARÃES, J.A.C.	Qualis nao identificado	Knowledge Organization
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/1981-5344/2344	Influências na estruturação de currículos de Arquivologia: as configurações acadêmico-institucionais, o contexto regional, o mercado laboral e o perfil docente	Perspectivas em Ciência da Informação (Online)	ARREGUY, C. A. C. ; NEGREIROS, L. R. ; SILVA, W. A.	B4	Ciência da Informação (Online)
artigoEmPeriodico	2015		Coleta de dados a partir de imagens: considerações sobre a privacidade dos usuários em redes sociais	Em Questão	ASSUMPÇÃO, F. S. ; SANTANA, Ricardo Cesar Gonçalves ; SANTOS, P. L. V. A. C.	Qualis nao identificado	Em Questão
artigoEmPeriodico	2015		Representação no domínio bibliográfico: um olhar sobre os Formatos MARC 21	Perspectivas em Ciência da Informação (Online)	ASSUMPÇÃO, F. S. ; SANTOS, P. L. V. A. C.	B4	Ciência da Informação (Online)
artigoEmPeriodico	2015		RDA Element Sets and RDA Value Vocabularies: Vocabularies for Resource Description in the Semantic Web	Communications in Computer and Information Science (Print)	Assumpção, Fabrício Silva ; SANTAREM SEGUNDO, Jose Eduardo ; SANTOS, P. L. V. A. C.	B4	
artigoEmPeriodico	2015		Os documentos arqueológicos e Históricos: A relação da cultura material e do ambiente nos Sítios Arqueológicos do Cariri Paraibano	HISTÓRIA UNICAP	AZEVEDO NETTO, C. X.; OLIVEIRA, A. M. P.	Qualis nao identificado	HISTÓRIA UNICAP
artigoEmPeriodico	2015		Impact or push-off lameness presentation is not altered by the type of track surface where horses are trotted	Arquivo Brasileiro de Medicina Veterinária e Zootecnia	AZEVEDO, M. S. ; DE LA CÔRTE, F. D. ; BRASS, KARIN ERICA ; GALLIO, M. ; DAU, S. ; POZZOBON, R. ; LOPES, MARCO AURÉLIO FERREIRA ; LOPES, L. F. D.	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.1016/j.jevs.2014.10.007	The Use of Xylazine or Acepromazine Does Not Interfere in the Lameness Evaluation by Inertial Sensors	Journal of Equine Veterinary Science (Print)	AZEVEDO, M. S. ; DE LA CÔRTE, F. D. ; BRASS, KARIN ERICA ; GALLIO, MIGUEL ; POZZOBON, R. ; LOPES, MARCO AURÉLIO FERREIRA ; LOPES, Luis Felipe Dias	Qualis nao identificado	Journal of Equine Veterinary Science (Print)
artigoEmPeriodico	2015		Comprometimento e entrincheiramento organizacional: explorando as relações ente os constructos	Revista de Administração da UFSM	BALSAN, L. A. G. ; BASTOS, A. V. B. ; FOSSÁ, M.I.T. ; LIMA, Mauren Pimentel ; LOPES, L. F. D. ; COSTA, V. M. F	Qualis nao identificado	Revista de Administração da UFSM
artigoEmPeriodico	2015		The use of wildlife by Sambaquianos in Prehistoric Babitonga Bay, North Coast Of Santa Catarina, Brazil	Revista Chilena de Antropología	BANDEIRA, Dione da Rocha	Qualis nao identificado	Revista Chilena de Antropología
artigoEmPeriodico	2015		POLÍTICAS PÚBLICAS ARQUIVÍSTISTICAS: ACESSO SUSTENTÁVEL À INFORMAÇÃO	Semioses (Rio de Janeiro)	BARBOSA, V. B. ; MELLO, R. R. P. B. ; SOUZA, R. O. L. ; MELLO, S. C. R. P.	Qualis nao identificado	Semioses (Rio de Janeiro)
artigoEmPeriodico	2015		Serviço de informação ao cidadão do Ministério da Previdência Social: instrumento de democratização da informação	PontodeAcesso (UFBA)	BARROS, D. S. ; SOUSA, R. T. B.	C	
artigoEmPeriodico	2015		A INFORMAÇÃO ORGÂNICA ENQUANTO UM OBJETO INTERDISCIPLINAR: AS RELAÇÕES ENTRE A ARQUIVÍSTICA E A CIÊNCIA DA INFORMAÇÃO NO ÂMBITO DA REPRESENTAÇÃO EM ARQUIVOS	Agora (Florianopolis)	BARROS, Thiago Henrique Bragato; Martins, W. R.	Qualis nao identificado	Agora (Florianopolis)
artigoEmPeriodico	2015		Itinerário documental do Morgado de Mateus	Histórica (São Paulo. Online)	BELLOTTO, H. L	Qualis nao identificado	Histórica (São Paulo. Online)
artigoEmPeriodico	2015		O paradigma social e o tempo do conhecimento interativo: perspectivas e desafios para a arquitetura da informação pervasiva	Perspectivas em Ciência da Informação (Online)	BEMBEM, A. H. C. ; OLIVEIRA, H. P. C. ; SANTOS, P. L. V. A. C.	B4	Ciência da Informação (Online)
artigoEmPeriodico	2015		Web Social Semântica: uma proposta para a representação da inteligência coletiva	Folha de Rosto: Revista de Biblioteconomia e Ciência da Informação	BEMBEM, A. H. C. ; SANTOS, P. L. V. A. C. ; SANTAREM SEGUNDO, Jose Eduardo	Qualis nao identificado	Folha de Rosto: Revista de Biblioteconomia e Ciência da Informação
artigoEmPeriodico	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n43p77	A questão da privacidade: um olhar sobre publicações da Ciência da Informação	Encontros Bibli	BEMBEM, ANGELA HALEN CLARO ; SANTANA, RICARDO CÉSAR GONÇALVES ; DA COSTA SANTOS, PLÁCIDA LEOPOLDINA VENTURA AMORIM	C	
artigoEmPeriodico	2015		Sociodemograph and funtional characteristics of nursing workers of a private hospital	Revista de Enfermagem UFPE On Line	BENETTI, E. R. R. ; KIRCHHOF, R. S. ; BUBLITZ, S. ; WEILLER, T. H. ; LOPES, L. F. D. ; GUIDO, Laura de Azevedo	Qualis nao identificado	Revista de Enfermagem UFPE On Line
artigoEmPeriodico	2015	http://dx.doi.org/10.15253/2175-6783.2015000100002	Coping strategies and characteristics of the nursing staff of a private hospital	Revista da Rede de Enfermagem do Nordeste	BENETTI, E. R. R. ; STUMM, E. M. F. ; WEILLER, T. H. ; BATISTA, K. M. ; LOPES, L. F. D. ; GUIDO, Laura de Azevedo	Qualis nao identificado	Revista da Rede de Enfermagem do Nordeste
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/0034-7612119279	Ranking das prefeituras da região Sul do Brasil: uma avaliação a partir de critérios estabelecidos na Lei de Acesso à Informação	Revista de Administração Pública (Impresso)	BERNARDES, MARCIELE BERGER ; SANTOS, PALOMA MARIA ; ROVER, Aires José	C	
artigoEmPeriodico	2015		Acesso à informação no Poder Executivo federal: uma análise a partir dos serviços arquivísticos	Revista do Arquivo Geral da Cidade do Rio de Janeiro	BITTENCOURT, P. R	Qualis nao identificado	Revista do Arquivo Geral da Cidade do Rio de Janeiro
artigoEmPeriodico	2015		O fundador Arlindo Fragoso e seus 150 anos	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2015		A revivescência de Anna Amélia Vieira Nascimento	Revista da Academia de Letras da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista da Academia de Letras da Bahia
artigoEmPeriodico	2015		A visita de Humberto de Saboia, Príncipe do Piemonte, à Bahia, em 1924	Revista do Instituto Histórico e Geographico Brazileiro	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Histórico e Geographico Brazileiro
artigoEmPeriodico	2015		Consuelo Pondé de Sena , o reconhecimento do IGHBA	Revista do Instituto Geográphico e Histórico da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Geográphico e Histórico da Bahia
artigoEmPeriodico	2015		O Instituto Geográfico e Histórico em 2014	Revista do Instituto Geográphico e Histórico da Bahia	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Geográphico e Histórico da Bahia
artigoEmPeriodico	2015		Homenageando Consuelo Pondé de Sena	Revista do Instituto Histórico e Geográfico de São Paulo	BOAVENTURA, Edivaldo M	Qualis nao identificado	Revista do Instituto Histórico e Geográfico de São Paulo
artigoEmPeriodico	2015		Interiorização da Educação Superior no Estado da Bahia	RDE - Revista de Desenvolvimento Econômico	BOAVENTURA, Edivaldo M.; PIMENTA, L. B. ; SANTOS, L. C. ; SCHINDLER JUNIOR, A. ; SANTOS, B. O.	Qualis nao identificado	RDE - Revista de Desenvolvimento Econômico
artigoEmPeriodico	2015		Preservação digital, recuperação da informação e linguagem	Revista Ibero-Americana de Ciência da Informação	BODE, E. C. ; SOUSA, R. T. B.	Qualis nao identificado	Revista Ibero-Americana de Ciência da Informação
artigoEmPeriodico	2015		Stress and coping between medical residents	Revista de Enfermagem UFPE On Line	BOLZAN, M. E. O. ; GUIDO, Laura de Azevedo ; LOPES, L. F. D. ; SILVA, Rodrigo Marques da	Qualis nao identificado	Revista de Enfermagem UFPE On Line
artigoEmPeriodico	2015		Políticas de formatos de Arquivos para objetos de aprendizagem: preservação digital no Saber Tecnologias Educacionais e Sociais	INFORMAÇÃO & TECNOLOGIA (ITEC)	BORBA, Vildeane da Rocha ; SIEBRA, S. A. ; Galindo, Marcos ; MACHIAVELLI, J. L. ; GUSMAO, C. M. G.	Qualis nao identificado	INFORMAÇÃO & TECNOLOGIA (ITEC)
artigoEmPeriodico	2015		Inovação Social e Sustentabilidade: Consumo de energia elétrica em comunidades carentes no Brasil	Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental	BORGER, ; JOÃO, B. N. ; CLARO, José Alberto Carvalho dos Santos ; JUNQUEIRA, L. A. P. ; GAUDEOSO, E. ; SIMOES, J	Qualis nao identificado	Revista Eletrônica em Gestão, Educação e Tecnologia Ambiental
artigoEmPeriodico	2015		Empreendedorismo Institucional na Copa do Mundo FIFA 2014: análise dos setores hoteleiros das cidades sede dos jogos	Revista Organizações em Contexto (Online)	BORGES, D. E. ; SCHERER, F. L. ; LOPES, L. F. D. ; CARPES, A. M.	Qualis nao identificado	Revista Organizações em Contexto (Online)
artigoEmPeriodico	2015		Espaços para a ociosidade na biblioteca	Informação@Profissões	BORTOLIN, S.; SILVA, R.J. da ; CRISPIM JUNIOR, M.	Qualis nao identificado	Informação@Profissões
artigoEmPeriodico	2015		FREI DAMIÃO: TRAJETÓRIAS DE VIDA, MISSÕES, CARISMA E PODERES	Paralellus (Online)	BRANDÃO, Sylvana; SILVA, Lêda Cristina Correia da	Qualis nao identificado	Paralellus (Online)
artigoEmPeriodico	2015		Descoberta de conhecimento com uso de ontologias na mineração de dados.	Abakós	BRANQUINHO, L. P. ; R., Baracho ; ALMEIDA, M. B.	C	
artigoEmPeriodico	2015		Modelo para suporte à descoberta de conhecimento em base de dados (kdd): aplicação em estratégias no mercado de medicina diagnóstica1	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	BRANQUINHO, L. P. ; R., Baracho ; ALMEIDA, M. B.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		Práticas informacionais ritualizadas: a construção da resiliência através das tecnologias de informação móveis.	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia	BRASILEIRO, F. S. ; FREIRE, G. H. A.	Qualis nao identificado	Pesquisa Brasileira em Ciência da Informação e Biblioteconomia
artigoEmPeriodico	2015		Uma reflexão histórico-epistemológica da perspectiva social do campo da ciência da informação	Investigación Bibliotecológica	BRASILEIRO, F. S. ; Loureiro, José Mauro M. ; FREIRE, G. H. A.	Qualis nao identificado	Investigación Bibliotecológica
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/0103-37862015000200008	Ritos de passagem e conhecimento: uma relação de cunho simbólico e cognitivo nas organizações	Transinformação	BRASILEIRO, F. S.; VIEIRA, F. A. A. ; HELAL, D. H.	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.18815/sh.2015v5n7.89	Estresse, Coping e Síndrome de Burnout em policiais rodoviários federais<br>Stress, Coping and Burnout Syndrome in federal police road	Saber Humano	BREUNIG DE FREITAS, ANDREA KARLA ; BRITO, LUCAS CHARÃO ; OBREGON, SANDRA LEONARA ; DIAS LOPES, LUIS FELIPE	Qualis nao identificado	Saber Humano
artigoEmPeriodico	2015		O perfil do integrante do Sistema de Gestão de Documentos de Arquivos - SIGA, da administração pública federal	Acervo	BRITO, D. M	Qualis nao identificado	Acervo
artigoEmPeriodico	2015		Gestão de documentos: síntese de uma proposta de curso de capacitação a distância para o Poder Executivo Federal	Revista do Arquivo Geral da Cidade do Rio de Janeiro	BRITO, D. M.; GAK, L. C. ; CAMPOS, G. H. B.	Qualis nao identificado	Revista do Arquivo Geral da Cidade do Rio de Janeiro
artigoEmPeriodico	2015	http://dx.doi.org/10.18815/sh.2015v5n7.88	Adaptação do modelo BPSO-96 de qualidade de vida no trabalho a profissionais do gênero feminino<br>Quality of life BPSO-96 model adaptation in professional work of gender fem	Saber Humano	BRITO, LUCAS CHARÃO ; OBREGON, SANDRA LEONARA ; SILVA, ANDRESSA HENNIG ; DIAS LOPES, LUIS FELIPE	Qualis nao identificado	Saber Humano
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/1983-1447.2015.01.48836	Sociodemographic and academic profile of nursing students from four brazilian institutions	Revista Gaúcha de Enfermagem (Online)	BUBLITZ, SUSAN ; GUIDO, Laura de Azevedo ; KIRCHHOF, RAQUEL SOARES ; NEVES, ELIANE TATSCH ; LOPES, Luis Felipe Dias	Qualis nao identificado	Revista Gaúcha de Enfermagem (Online)
artigoEmPeriodico	2015		Formação de professores com filmes: os clichês como formadores de docentes e indicadores dos múltiplos caminhos da centralização curricular	Revista e-Curriculum (PUCSP)	CALDAS, Alessandra Barbosa Nunes ; ROSA, Rebeca Brandão ; ALVES, N. G.	C	
artigoEmPeriodico	2015		As atribuições da Polícia Rodoviária Federal frente as demandas da sociedade contemporânea	Revista da Unifebe (Online)	CALEGARI, R. G. ; LOPES, L. F. D. ; MOURA, Gilnei Luiz de ; BALSAN, L. A. G.	Qualis nao identificado	Revista da Unifebe (Online)
artigoEmPeriodico	2015		Arquivos e memória: elementos para o debate sobre uma relação controversa	Revista Escrita da História	CAMPOS, José Francisco Guelfi	Qualis nao identificado	Revista Escrita da História
artigoEmPeriodico	2015		O marketing de lugares como instrumento de apoio ao desenvolvimento local: diagnóstico de marketing de Itajubá - MG	Espacios (Caracas)	CARDOSO, E. J. ; SANTOS, M. J. ; CARNIELLO, M. F.	Qualis nao identificado	Espacios (Caracas)
artigoEmPeriodico	2015	http://dx.doi.org/10.14295/rbhcs.v7i13.304	Anjos marcados: o batismo dos filhos do ventre livre (Porto Alegre/RS - 1871-1888).	Revista Brasileira de História & Ciências Sociais	CARDOZO, J. C. S. ; MOREIRA, P. R. S.	Qualis nao identificado	Revista Brasileira de História & Ciências Sociais
artigoEmPeriodico	2015		Em estado de memória: experiência, memória e pós-memória no relato de Tununa Mercado	Litterata - Revista do Centro de Estudos Portugueses Hélio Simões	CARMO, Cláudio do; ARAUJO, V. R.	Qualis nao identificado	Litterata - Revista do Centro de Estudos Portugueses Hélio Simões
artigoEmPeriodico	2015		Proposta Metodológica de Avaliação de Comunicação Governamental Digital	Revista Observatório	CARNIELLO, M. F	Qualis nao identificado	Revista Observatório
artigoEmPeriodico	2015		Limite de acesso ao consumo como estratégia de desenvolvimento no Brasil	Ângulo (FATEA. Impresso)	CARNIELLO, M. F.; SANTOS, M. J.	Qualis nao identificado	Ângulo (FATEA. Impresso)
artigoEmPeriodico	2015		Direito de acesso à informação no Brasil	Conexão: Comunicação e Cultura	CARNIELLO, M. F.; SANTOS, M. J.	Qualis nao identificado	Conexão: Comunicação e Cultura
artigoEmPeriodico	2015		TERRITORIAL DISTRIBUTION OF REGIONAL SCIENCE PROGRAMS IN BRAZIL	Revista Brasileira de Gestão e Desenvolvimento Regional	CARNIELLO, M. F.; SANTOS, M. J. ; OLIVEIRA, E. A. A. Q.	Qualis nao identificado	Revista Brasileira de Gestão e Desenvolvimento Regional
artigoEmPeriodico	2015		Métodos Pedagógicos em Cursos de Comunicação Social: aplicação e formação de banco de casos	UNOPAR Científica. Ciências Humanas e Educação	CARNIELLO, M. F.; ZULIETTI, L. F.	Qualis nao identificado	UNOPAR Científica. Ciências Humanas e Educação
artigoEmPeriodico	2015	http://dx.doi.org/10.1590/TEM-1980-542X-2014203619	The population of Brazil, 1570-1700: a historiographical review	Tempo. Revista do Departamento de História da UFF	CARRARA, Angelo Alves	Qualis nao identificado	Tempo. Revista do Departamento de História da UFF
artigoEmPeriodico	2015		A constituição do sistema monetário do Brasil, 1822-1835	Revista Uruguaya de Historia Económica	CARRARA, Angelo Alves	Qualis nao identificado	Revista Uruguaya de Historia Económica
artigoEmPeriodico	2015		A formação do pesquisador e a dimensão ético-profissional	Historia & Perspectivas (UFU)	CARVALHO, C. H. de ; GONCALVES NETO, Wenceslau	Qualis nao identificado	Historia & Perspectivas (UFU)
artigoEmPeriodico	2015		An Experimental Pedagogy Laboratory in São Paulo, Brazil (1914)	international Journal for the Historiography of Education	CARVALHO, M. M. C	Qualis nao identificado	international Journal for the Historiography of Education
artigoEmPeriodico	2015		O Manifesto dos Pioneiros da Educação Nova e a IV Conferência Nacional da Educação	Revista Brasileira de Estudos Pedagógicos (Impresso)	CARVALHO, M. M. C	Qualis nao identificado	Revista Brasileira de Estudos Pedagógicos (Impresso)
artigoEmPeriodico	2015		On Board the Pan America: Anísio Teixeira's Records of His First Trip to the United States of America	International Journal for the Historiography of Education	CARVALHO, M. M. C	Qualis nao identificado	International Journal for the Historiography of Education
artigoEmPeriodico	2015	http://dx.doi.org/10.1016/j.procs.2015.05.058	Context-aware Scheduling for Apache Hadoop over Pervasive Environments	Procedia Computer Science	CASSALES, GUILHERME W. ; CHARÃO, ANDREA S. ; PINHEIRO, MANUELE KIRSCH ; SOUVEYET, CARINE ; STEFFENEL, LUIZ A.	C	
artigoEmPeriodico	2015	http://dx.doi.org/10.3145/epi.2015.mar.09	Comparação da Lei de Zipf em conteúdos textuais e discursos orais	El Profesional de la Información	CASSETTARI, R. R. B. ; PINTO, A. L. ; RODRIGUES, R. S. ; SANTOS, L. S.	Qualis nao identificado	El Profesional de la Información
artigoEmPeriodico	2015		Dificuldades, reflexões e possibilidades no ensino da história da música no Brasil do nosso tempo	Arteriais; Revista do Programa de Pós-Graduação em Artes da Universidade Federal do Pará	CASTAGNA, P. A	Qualis nao identificado	Arteriais; Revista do Programa de Pós-Graduação em Artes da Universidade Federal do Pará
artigoEmPeriodico	2015	http://dx.doi.org/10.15603/2175-7755/cs.v37n2p5-22	A Importância da Gestão do Conhecimento na Administração Pública Federal: Possíveis Contribuições do Sistema Integral de Informação Ativa e Permanente (SI-AP)	Comunicação & Sociedade (Online)	CASTRO, A. H. ; MACHADO, L. A. A. ; CORDEIRO, ROSA INÊS DE NOVAIS	Qualis nao identificado	Comunicação & Sociedade (Online)
artigoEmPeriodico	2015		A representação temática no contexto da web semântica	Informação & Sociedade (UFPB. Online)	CATARINO, Maria Elisabete ; CERVANTES, BRÍGIDA MARIA NOGUEIRA ; ANDRADE, I. A.	Qualis nao identificado	Informação & Sociedade (UFPB. Online)
artigoEmPeriodico	2015		O ?R? Paulista em Divinópolis-MG: o falar da cidade como patrimônio cultural, identidade e reflexo da História	V Seminário História e Memória do Centro Oeste Mineiro	CATÃO, L. P.; PAULA, T. F.	Qualis nao identificado	V Seminário História e Memória do Centro Oeste Mineiro
artigoEmPeriodico	2015		Acessibilidade física na biblioteca do Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina, Campus Araranguá	Revista ACB (Florianópolis)	CAVALCANTI, C. O. P. ; GARCIA, R. I. ; VARVAKIS, G.	Qualis nao identificado	Revista ACB (Florianópolis)
artigoEmPeriodico	2015		A informação em múltiplas perspectivas (Editorial)	Informação & Informação (UEL. Online)	CERVANTES, BRÍGIDA MARIA NOGUEIRA	C	
artigoEmPeriodico	2015		Fuzzy Assessment Model Operative Groups in Virtual Education Forums.	Publisher IEEE	CHAMOVITZ, I. ; ELIA, M. F. ; cosenza, C.A.N.	Qualis nao identificado	Publisher IEEE
artigoEmPeriodico	2015	http://dx.doi.org/10.13037/gr.vol31n93.2913	AVALIANDO AS RELAÇÕES ENTRE ABORDAGEM BIOPSICOSSOCIAL DE QUALIDADE DE VIDA NO TRABALHO E A SÍNDROME DE BURNOUT	Gestão & Regionalidade (Online)	CHARÃO BRITO, LUCAS ; HENNIG SILVA, ANDRESSA ; SOUTO BOLZAN MEDEIROS, FLAVIANI ; OBREGON, SANDRA LEONARA ; DIAS LOPES, LUIS FELIPE	C	Gestão & Regionalidade
